"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.06,0,0,0,0,0,0,1,0,1,343,0.00291545189504373,0.00291545189504373
"DF1",0.06,1,0,0,0,0,0,0,2,3,1017,0.00294985250737463,0.00294985250737463
"DF1",0.06,0,0,0,0,0,0,0,0,0,878,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,780,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1015,0,0
"DF1",0.06,0,0,0,0,0,0,1,0,1,421,0.00237529691211401,0.00237529691211401
"DF1",0.06,0,0,0,1,0,0,1,0,2,2363,0.000846381718154888,0.000846381718154888
"DF1",0.06,0,0,0,0,0,0,0,0,0,1028,0,0
"DF1",0.06,0,0,0,0,0,0,0,1,1,876,0.00114155251141553,0.00114155251141553
"DF1",0.06,0,0,0,0,0,0,0,0,0,603,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,334,0.0029940119760479,0.0029940119760479
"DF1",0.06,0,0,0,2,0,0,2,1,5,500,0.01,0.01
"DF1",0.06,0,0,0,0,0,0,1,0,1,370,0.0027027027027027,0.0027027027027027
"DF1",0.06,0,0,0,0,0,0,0,0,0,685,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,1077,0.000928505106778087,0.000928505106778087
"DF1",0.06,0,0,0,0,0,0,0,0,0,468,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,628,0,0
"DF1",0.06,0,0,0,0,0,0,1,1,2,2794,0.000715819613457409,0.000715819613457409
"DF1",0.06,0,0,0,0,0,0,0,0,0,340,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1202,0,0
"DF1",0.06,2,4,3,157,88,0,39,20,313,1149,0.272410791993037,0.272410791993037
"DF1",0.06,0,0,0,1,1,0,1,0,3,628,0.00477707006369427,0.00477707006369427
"DF1",0.06,0,0,0,0,0,0,0,0,0,334,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,552,0.00181159420289855,0.00181159420289855
"DF1",0.06,0,0,0,0,0,1,0,1,2,2063,0.000969461948618517,0.000969461948618517
"DF1",0.06,0,0,0,0,0,0,0,1,1,1101,0.000908265213442325,0.000908265213442325
"DF1",0.06,0,0,0,0,0,0,0,0,0,804,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,717,0.00139470013947001,0.00139470013947001
"DF1",0.06,0,0,0,0,1,0,0,0,1,2090,0.000478468899521531,0.000478468899521531
"DF1",0.06,0,0,0,0,4,0,0,0,4,363,0.0110192837465565,0.0110192837465565
"DF1",0.06,0,0,0,0,0,0,0,0,0,341,0,0
"DF1",0.06,0,2,0,27,4,2,7,8,50,343,0.145772594752187,0.145772594752187
"DF1",0.06,0,2,0,0,0,0,0,0,2,864,0.00231481481481481,0.00231481481481481
"DF1",0.06,0,2,0,8,6,1,6,10,33,35640,0.000925925925925926,0.000925925925925926
"DF1",0.06,0,0,0,0,0,0,0,0,0,1118,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,869,0,0
"DF1",0.06,0,0,0,0,0,0,1,0,1,823,0.00121506682867558,0.00121506682867558
"DF1",0.06,0,4,1,3,16,0,14,7,45,917,0.0490730643402399,0.0490730643402399
"DF1",0.06,1,6,0,20,12,0,4,11,54,526,0.102661596958175,0.102661596958175
"DF1",0.06,0,0,0,0,0,0,0,0,0,2174,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,517,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1756,0,0
"DF1",0.06,0,0,0,0,0,0,0,1,1,292,0.00342465753424658,0.00342465753424658
"DF1",0.06,0,0,0,0,0,0,0,0,0,293,0,0
"DF1",0.06,0,0,0,1,1,0,0,0,2,3136,0.000637755102040816,0.000637755102040816
"DF1",0.06,0,0,0,0,0,0,0,0,0,1146,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,743,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,345,0.00289855072463768,0.00289855072463768
"DF1",0.06,0,0,0,0,0,0,0,0,0,808,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,781,0,0
"DF1",0.06,0,0,0,0,0,0,0,1,1,534,0.00187265917602996,0.00187265917602996
"DF1",0.06,0,1,0,12,14,5,13,11,56,498,0.112449799196787,0.112449799196787
"DF1",0.06,0,0,0,1,0,0,0,0,1,2015,0.000496277915632754,0.000496277915632754
"DF1",0.06,0,0,0,0,0,0,0,0,0,528,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,1333,0.000750187546886722,0.000750187546886722
"DF1",0.06,0,0,0,1,0,0,0,0,1,1022,0.000978473581213307,0.000978473581213307
"DF1",0.06,0,0,0,0,0,0,0,0,0,315,0,0
"DF1",0.06,0,0,0,1,0,0,1,0,2,1254,0.00159489633173844,0.00159489633173844
"DF1",0.06,0,0,0,0,0,1,0,0,1,1349,0.000741289844329133,0.000741289844329133
"DF1",0.06,0,1,0,16,20,3,3,8,51,1357,0.0375829034635225,0.0375829034635225
"DF1",0.06,0,0,0,0,0,0,0,0,0,820,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,503,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,813,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,298,0,0
"DF1",0.06,0,0,0,0,1,0,1,0,2,436,0.00458715596330275,0.00458715596330275
"DF1",0.06,4,3,2,0,18,0,28,33,88,1380,0.063768115942029,0.063768115942029
"DF1",0.06,0,0,0,0,0,0,0,0,0,1024,0,0
"DF1",0.06,0,0,0,0,0,0,1,0,1,1489,0.000671591672263264,0.000671591672263264
"DF1",0.06,0,0,0,0,0,0,0,0,0,1003,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,320,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,422,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,1087,0.000919963201471941,0.000919963201471941
"DF1",0.06,0,0,0,0,0,0,0,0,0,801,0,0
"DF1",0.06,0,4,0,1,21,4,5,23,58,552,0.105072463768116,0.105072463768116
"DF1",0.06,0,0,0,0,0,0,0,0,0,874,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,319,0,0
"DF1",0.06,0,0,0,0,0,0,1,2,3,2028,0.0014792899408284,0.0014792899408284
"DF1",0.06,0,0,0,0,0,0,0,0,0,1631,0,0
"DF1",0.06,0,0,0,4,3,3,3,4,17,18901,0.000899423310935929,0.000899423310935929
"DF1",0.06,0,0,0,1,3,0,0,0,4,295,0.0135593220338983,0.0135593220338983
"DF1",0.06,0,0,0,0,0,0,0,0,0,913,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,879,0.00113765642775882,0.00113765642775882
"DF1",0.06,1,2,0,5,10,4,10,5,37,38025,0.000973044049967127,0.000973044049967127
"DF1",0.06,0,0,0,0,0,0,1,0,1,376,0.00265957446808511,0.00265957446808511
"DF1",0.06,0,0,0,2,1,1,1,0,5,676,0.00739644970414201,0.00739644970414201
"DF1",0.06,0,0,0,0,0,0,0,0,0,1137,0,0
"DF1",0.06,2,0,0,0,0,2,2,0,6,2741,0.00218898212331266,0.00218898212331266
"DF1",0.06,0,0,0,0,0,1,0,0,1,993,0.00100704934541793,0.00100704934541793
"DF1",0.06,0,0,0,0,0,1,0,0,1,1375,0.000727272727272727,0.000727272727272727
"DF1",0.06,0,0,1,0,1,0,0,0,2,1350,0.00148148148148148,0.00148148148148148
"DF1",0.06,0,0,0,0,0,0,0,0,0,7598,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,765,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,867,0,0
"DF1",0.06,0,0,0,0,0,0,1,0,1,1921,0.000520562207183758,0.000520562207183758
"DF1",0.06,0,0,0,0,0,0,0,0,0,277,0,0
"DF1",0.06,0,0,0,0,0,0,1,0,1,1354,0.000738552437223043,0.000738552437223043
"DF1",0.06,0,0,0,0,1,0,0,0,1,701,0.0014265335235378,0.0014265335235378
"DF1",0.06,0,0,0,0,0,0,0,0,0,993,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,716,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,439,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,458,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,279,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,536,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,345,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,682,0,0
"DF1",0.06,0,0,0,1,0,1,0,1,3,1035,0.00289855072463768,0.00289855072463768
"DF1",0.06,0,0,0,0,0,0,0,1,1,289,0.00346020761245675,0.00346020761245675
"DF1",0.06,0,0,0,0,0,0,0,0,0,401,0,0
"DF1",0.06,0,0,0,0,1,1,0,0,2,1083,0.00184672206832872,0.00184672206832872
"DF1",0.06,0,0,0,0,0,0,0,1,1,333,0.003003003003003,0.003003003003003
"DF1",0.06,0,0,0,0,0,0,0,0,0,861,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,2084,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,553,0,0
"DF1",0.06,0,0,0,1,0,1,0,0,2,2963,0.000674991562605467,0.000674991562605467
"DF1",0.06,0,0,0,1,0,0,0,0,1,966,0.0010351966873706,0.0010351966873706
"DF1",0.06,0,0,0,0,1,0,0,0,1,2377,0.000420698359276399,0.000420698359276399
"DF1",0.06,0,0,0,2,0,0,0,4,6,683,0.00878477306002928,0.00878477306002928
"DF1",0.06,0,0,0,1,0,0,1,1,3,2789,0.00107565435640014,0.00107565435640014
"DF1",0.06,0,0,0,0,0,0,0,0,0,620,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,948,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,296,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,346,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,2588,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,488,0.00204918032786885,0.00204918032786885
"DF1",0.06,0,0,0,0,0,0,0,0,0,494,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,428,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,485,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,2177,0,0
"DF1",0.06,0,0,0,0,0,0,2,0,2,1098,0.00182149362477231,0.00182149362477231
"DF1",0.06,0,0,0,0,1,0,0,0,1,1337,0.00074794315632012,0.00074794315632012
"DF1",0.06,0,0,0,0,0,0,0,0,0,758,0,0
"DF1",0.06,0,0,0,0,1,0,1,1,3,720,0.00416666666666667,0.00416666666666667
"DF1",0.06,0,0,0,1,0,0,0,0,1,514,0.00194552529182879,0.00194552529182879
"DF1",0.06,0,0,0,3,1,1,2,1,8,5681,0.00140820278120049,0.00140820278120049
"DF1",0.06,0,0,0,0,0,0,0,0,0,815,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1147,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,518,0.00193050193050193,0.00193050193050193
"DF1",0.06,0,0,0,0,0,0,0,0,0,308,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,605,0.00165289256198347,0.00165289256198347
"DF1",0.06,0,0,0,0,0,0,0,0,0,600,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,429,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,314,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,288,0,0
"DF1",0.06,0,0,0,4,2,0,3,2,11,1967,0.00559227249618709,0.00559227249618709
"DF1",0.06,0,0,0,0,0,0,0,0,0,1019,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,2458,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,1184,0.000844594594594595,0.000844594594594595
"DF1",0.06,0,0,0,0,0,0,0,0,0,909,0,0
"DF1",0.06,0,0,0,1,1,0,1,0,3,1554,0.00193050193050193,0.00193050193050193
"DF1",0.06,0,0,0,1,1,0,1,1,4,3577,0.00111825552138664,0.00111825552138664
"DF1",0.06,0,0,0,0,0,0,0,0,0,275,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,1285,0.000778210116731518,0.000778210116731518
"DF1",0.06,0,0,0,0,0,0,0,0,0,384,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1163,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,910,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,719,0.00139082058414465,0.00139082058414465
"DF1",0.06,1,3,2,80,22,10,11,10,139,644,0.21583850931677,0.21583850931677
"DF1",0.06,0,0,0,2,1,1,0,0,4,1440,0.00277777777777778,0.00277777777777778
"DF1",0.06,0,0,0,0,0,0,0,1,1,1160,0.000862068965517241,0.000862068965517241
"DF1",0.06,0,0,0,0,0,0,0,0,0,438,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,289,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1179,0,0
"DF1",0.06,0,6,1,0,15,22,0,47,91,868,0.104838709677419,0.104838709677419
"DF1",0.06,0,0,0,0,0,0,0,0,0,537,0,0
"DF1",0.06,0,0,0,0,0,0,1,0,1,1532,0.000652741514360313,0.000652741514360313
"DF1",0.06,0,0,0,1,0,0,0,0,1,502,0.00199203187250996,0.00199203187250996
"DF1",0.06,0,0,0,0,0,0,0,0,0,561,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,922,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,413,0,0
"DF1",0.06,2,6,3,0,18,4,14,27,74,1022,0.0724070450097847,0.0724070450097847
"DF1",0.06,0,0,0,0,0,0,0,1,1,765,0.00130718954248366,0.00130718954248366
"DF1",0.06,0,0,0,0,0,0,0,0,0,558,0,0
"DF1",0.06,0,0,0,1,0,1,0,0,2,512,0.00390625,0.00390625
"DF1",0.06,0,0,0,0,0,0,0,0,0,1071,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1436,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,345,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,541,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,291,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,585,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,688,0.00145348837209302,0.00145348837209302
"DF1",0.06,0,0,0,0,0,0,2,0,2,1688,0.00118483412322275,0.00118483412322275
"DF1",0.06,0,0,0,0,1,0,0,0,1,1626,0.000615006150061501,0.000615006150061501
"DF1",0.06,0,0,0,0,0,0,0,0,0,593,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,729,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,957,0.00104493207941484,0.00104493207941484
"DF1",0.06,0,0,0,0,0,0,0,0,0,2480,0,0
"DF1",0.06,0,0,0,1,0,0,0,1,2,2526,0.000791765637371338,0.000791765637371338
"DF1",0.06,0,16,5,0,121,25,54,93,314,898,0.349665924276169,0.349665924276169
"DF1",0.06,0,0,0,0,0,0,0,0,0,675,0,0
"DF1",0.06,0,0,0,0,0,1,0,0,1,1179,0.000848176420695505,0.000848176420695505
"DF1",0.06,0,0,0,1,0,0,0,1,2,1307,0.00153022188217292,0.00153022188217292
"DF1",0.06,0,0,0,0,0,0,0,0,0,287,0,0
"DF1",0.06,0,0,0,0,0,0,1,1,2,1222,0.0016366612111293,0.0016366612111293
"DF1",0.06,0,0,0,0,0,0,0,0,0,543,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,428,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,469,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,579,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,364,0,0
"DF1",0.06,0,0,0,3,0,0,0,0,3,1262,0.00237717908082409,0.00237717908082409
"DF1",0.06,0,0,0,0,0,0,0,0,0,697,0,0
"DF1",0.06,0,0,0,0,0,1,0,1,2,430,0.00465116279069767,0.00465116279069767
"DF1",0.06,0,0,0,0,0,0,0,0,0,330,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,739,0.0013531799729364,0.0013531799729364
"DF1",0.06,0,0,0,0,1,0,0,0,1,405,0.00246913580246914,0.00246913580246914
"DF1",0.06,1,0,2,4,5,0,4,6,22,22487,0.000978343042646863,0.000978343042646863
"DF1",0.06,0,0,0,0,0,0,0,0,0,1432,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1135,0,0
"DF1",0.06,0,2,0,16,29,8,10,24,89,1408,0.0632102272727273,0.0632102272727273
"DF1",0.06,0,0,0,0,0,0,0,0,0,403,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,555,0,0
"DF1",0.06,0,0,0,1,0,0,1,0,2,1665,0.0012012012012012,0.0012012012012012
"DF1",0.06,0,0,0,0,2,1,0,0,3,4634,0.000647388864911524,0.000647388864911524
"DF1",0.06,0,0,0,0,2,0,0,0,2,302,0.00662251655629139,0.00662251655629139
"DF1",0.06,0,0,0,0,0,0,0,0,0,373,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,925,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,333,0,0
"DF1",0.06,0,0,0,0,0,0,0,1,1,1428,0.000700280112044818,0.000700280112044818
"DF1",0.06,0,0,0,0,0,0,0,1,1,1469,0.00068073519400953,0.00068073519400953
"DF1",0.06,0,0,0,0,0,0,0,0,0,526,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,571,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,682,0,0
"DF1",0.06,1,0,0,0,0,0,1,0,2,855,0.00233918128654971,0.00233918128654971
"DF1",0.06,0,0,0,0,0,0,0,0,0,619,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,785,0.00127388535031847,0.00127388535031847
"DF1",0.06,0,0,0,1,0,0,0,0,1,3855,0.000259403372243839,0.000259403372243839
"DF1",0.06,0,0,0,0,0,0,0,1,1,793,0.00126103404791929,0.00126103404791929
"DF1",0.06,0,0,0,0,0,0,1,0,1,1437,0.00069589422407794,0.00069589422407794
"DF1",0.06,1,0,0,0,0,1,1,0,3,833,0.00360144057623049,0.00360144057623049
"DF1",0.06,0,0,0,0,0,0,0,0,0,407,0,0
"DF1",0.06,0,0,0,0,0,0,1,2,3,1557,0.00192678227360308,0.00192678227360308
"DF1",0.06,0,0,0,0,0,0,0,0,0,926,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,464,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,1771,0.000564652738565782,0.000564652738565782
"DF1",0.06,0,1,1,4,5,0,0,3,14,11316,0.00123718628490633,0.00123718628490633
"DF1",0.06,0,0,0,0,0,1,0,0,1,589,0.00169779286926995,0.00169779286926995
"DF1",0.06,0,0,0,0,0,0,0,1,1,547,0.00182815356489945,0.00182815356489945
"DF1",0.06,0,0,0,0,0,0,0,0,0,346,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,840,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,333,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,377,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,380,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,688,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,495,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1385,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1431,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,283,0,0
