"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.07,0,0,0,0,0,0,1,0,1,351,0.00284900284900285,0.00284900284900285
"DF1",0.07,1,0,0,0,0,0,0,2,3,1009,0.00297324083250743,0.00297324083250743
"DF1",0.07,0,0,0,0,0,0,0,0,0,888,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,754,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,1018,0,0
"DF1",0.07,0,0,0,0,0,0,1,0,1,440,0.00227272727272727,0.00227272727272727
"DF1",0.07,0,0,0,1,0,0,1,0,2,2375,0.000842105263157895,0.000842105263157895
"DF1",0.07,0,0,0,0,0,0,0,0,0,1031,0,0
"DF1",0.07,0,0,0,0,0,0,0,1,1,877,0.00114025085518814,0.00114025085518814
"DF1",0.07,0,0,0,0,0,0,0,0,0,620,0,0
"DF1",0.07,0,0,0,1,0,0,0,0,1,331,0.00302114803625378,0.00302114803625378
"DF1",0.07,0,0,0,2,0,0,2,1,5,522,0.00957854406130268,0.00957854406130268
"DF1",0.07,0,0,0,0,0,0,1,0,1,368,0.00271739130434783,0.00271739130434783
"DF1",0.07,0,0,0,0,0,0,0,0,0,695,0,0
"DF1",0.07,0,0,0,1,0,0,0,0,1,1082,0.000924214417744917,0.000924214417744917
"DF1",0.07,0,0,0,0,0,0,0,0,0,470,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,631,0,0
"DF1",0.07,0,0,0,0,0,0,1,1,2,2836,0.000705218617771509,0.000705218617771509
"DF1",0.07,0,0,0,0,0,0,0,0,0,345,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,1182,0,0
"DF1",0.07,0,0,0,0,1,0,0,1,2,267,0.00749063670411985,0.00749063670411985
"DF1",0.07,2,4,3,157,88,0,39,20,313,1150,0.272173913043478,0.272173913043478
"DF1",0.07,0,0,0,1,1,0,1,0,3,635,0.0047244094488189,0.0047244094488189
"DF1",0.07,0,0,0,0,0,0,0,0,0,328,0,0
"DF1",0.07,0,0,0,1,0,0,0,0,1,555,0.0018018018018018,0.0018018018018018
"DF1",0.07,0,0,0,0,0,1,0,1,2,2086,0.000958772770853308,0.000958772770853308
"DF1",0.07,0,0,0,0,0,0,0,1,1,1098,0.000910746812386157,0.000910746812386157
"DF1",0.07,0,0,0,0,0,0,0,0,0,794,0,0
"DF1",0.07,0,0,0,1,0,0,0,0,1,711,0.00140646976090014,0.00140646976090014
"DF1",0.07,0,0,0,0,1,0,0,0,1,2072,0.000482625482625483,0.000482625482625483
"DF1",0.07,0,0,0,0,4,0,0,0,4,344,0.0116279069767442,0.0116279069767442
"DF1",0.07,0,0,0,0,0,0,0,0,0,345,0,0
"DF1",0.07,0,2,0,27,4,2,7,8,50,365,0.136986301369863,0.136986301369863
"DF1",0.07,0,2,0,0,0,0,0,0,2,889,0.00224971878515186,0.00224971878515186
"DF1",0.07,0,2,0,8,6,1,6,10,33,35636,0.000926029857447525,0.000926029857447525
"DF1",0.07,0,0,0,0,0,0,0,0,0,1131,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,879,0,0
"DF1",0.07,0,0,0,0,0,0,1,0,1,831,0.00120336943441637,0.00120336943441637
"DF1",0.07,0,4,1,3,16,0,14,7,45,951,0.0473186119873817,0.0473186119873817
"DF1",0.07,1,6,0,20,12,0,4,11,54,513,0.105263157894737,0.105263157894737
"DF1",0.07,0,0,0,0,0,0,0,0,0,2166,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,501,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,1741,0,0
"DF1",0.07,0,0,0,0,0,0,0,1,1,299,0.00334448160535117,0.00334448160535117
"DF1",0.07,0,0,0,0,0,0,0,0,0,286,0,0
"DF1",0.07,0,0,0,1,1,0,0,0,2,3099,0.000645369474023879,0.000645369474023879
"DF1",0.07,0,0,0,0,0,0,0,0,0,1133,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,741,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,260,0,0
"DF1",0.07,0,0,0,0,1,0,0,0,1,342,0.00292397660818713,0.00292397660818713
"DF1",0.07,0,0,0,0,0,0,0,0,0,812,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,798,0,0
"DF1",0.07,0,0,0,0,0,0,0,1,1,541,0.00184842883548983,0.00184842883548983
"DF1",0.07,0,1,0,12,14,5,13,11,56,520,0.107692307692308,0.107692307692308
"DF1",0.07,0,0,0,1,0,0,0,0,1,2030,0.000492610837438424,0.000492610837438424
"DF1",0.07,0,0,0,0,0,0,0,0,0,529,0,0
"DF1",0.07,0,0,0,0,1,0,0,0,1,1318,0.000758725341426404,0.000758725341426404
"DF1",0.07,0,0,0,1,0,0,0,0,1,1033,0.000968054211035818,0.000968054211035818
"DF1",0.07,0,0,0,0,0,0,0,0,0,315,0,0
"DF1",0.07,0,0,0,1,0,0,1,0,2,1280,0.0015625,0.0015625
"DF1",0.07,0,0,0,0,0,0,0,0,0,265,0,0
"DF1",0.07,0,0,0,0,0,1,0,0,1,1357,0.000736919675755343,0.000736919675755343
"DF1",0.07,0,1,0,16,20,3,3,8,51,1364,0.0373900293255132,0.0373900293255132
"DF1",0.07,0,0,0,0,0,0,0,0,0,826,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,489,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,807,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,298,0,0
"DF1",0.07,0,0,0,0,1,0,1,0,2,437,0.0045766590389016,0.0045766590389016
"DF1",0.07,4,3,2,0,18,0,28,33,88,1394,0.0631276901004304,0.0631276901004304
"DF1",0.07,0,0,0,0,0,0,0,0,0,1013,0,0
"DF1",0.07,0,0,0,0,0,0,1,0,1,1476,0.000677506775067751,0.000677506775067751
"DF1",0.07,0,0,0,0,0,0,0,0,0,996,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,330,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,417,0,0
"DF1",0.07,0,0,0,0,1,0,0,0,1,1106,0.000904159132007233,0.000904159132007233
"DF1",0.07,0,0,0,0,0,0,0,0,0,810,0,0
"DF1",0.07,0,4,0,1,21,4,5,23,58,551,0.105263157894737,0.105263157894737
"DF1",0.07,0,0,0,0,0,0,0,0,0,872,0,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,311,0,0
"DF1",0.07,0,0,0,0,0,0,1,2,3,2012,0.00149105367793241,0.00149105367793241
"DF1",0.07,0,0,0,0,0,0,0,0,0,1636,0,0
