"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","P3_NP","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","Test_Log","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"DF1",0.07,0,0,0,0,0,0,1,1,2,2836,0.000705218617771509,1,2,"0",1,0.000705218617771509,2,0.301029995663981,0,0,0,32,0.00775740479548665,0.000702798274325849
"DF1",0.07,0,0,0,0,0,1,0,0,1,1394,0.000717360114777618,1,1,"0",1,0.000717360114777618,1,0,0,0,0,33,0.0172166427546629,0.000702798274325849
"DF1",0.07,0,0,0,0,1,0,0,0,1,1393,0.000717875089734386,1,1,"0",1,0.000717875089734386,1,0,0,0,0,34,0.00071787508973437,0.000702798274325849
"DF1",0.07,0,0,0,0,0,0,1,0,1,1384,0.000722543352601156,1,1,"0",1,0.000722543352601156,1,0,0,0,0,35,0.00650289017341032,0.000702798274325849
"DF1",0.07,0,0,0,0,0,1,0,0,1,1357,0.000736919675755343,1,1,"0",1,0.000736919675755343,1,0,0,0,0,36,0.0198968312453943,0.000702798274325849
"DF1",0.07,0,0,0,1,0,0,0,0,1,1357,0.000736919675755343,1,1,"0",1,0.000736919675755343,1,0,0,0,0,37,0,0.000702798274325849
"DF1",0.07,0,0,0,0,1,0,0,0,1,1346,0.000742942050520059,1,1,"0",1,0.000742942050520059,1,0,0,0,0,38,0.00817236255572058,0.000702798274325849
"DF1",0.07,0,0,0,0,1,0,0,0,1,1332,0.000750750750750751,1,1,"0",1,0.000750750750750751,1,0,0,0,0,39,0.0105105105105106,0.000702798274325849
"DF1",0.07,0,0,0,0,1,0,0,0,1,1318,0.000758725341426404,1,1,"0",1,0.000758725341426404,1,0,0,0,0,40,0.0106221547799697,0.000702798274325849
"DF1",0.07,0,0,0,1,0,0,0,0,1,1286,0.000777604976671851,1,1,"0",1,0.000777604976671851,1,0,0,0,0,41,0.0248833592534992,0.000702798274325849
