"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","mVarPB2","mVarPB1","mVarPA","mVarHA","mVarNP","mVarNA","mVarM","mVarNS","mHelperPB2","mHelperPB1","mHelperPA","mHelperHA","mHelperNP","mHelperNA","mHelperM","mHelperNS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,43,22,29,28,128,1064,0.120300751879699,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,2,0,13,1,0,0,1,6,7,4,198,186,44,69,94,625,2989,0.209100033456005,0.00568752091000335
"DF1",0.02,0,0,0,1,0,0,0,0,0,0,0,7,4,1,4,0,0,2,0,30,50,11,15,20,145,784,0.184948979591837,0.0216836734693878
"DF1",0.02,0,0,0,28,4,0,0,5,0,0,0,0,0,0,0,0,3,2,0,267,102,38,86,70,605,1757,0.344336937962436,0.0210586226522482
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,9,25,6,11,17,75,3011,0.0249086682165394,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,27,5,35,24,141,726,0.194214876033058,0
"DF1",0.02,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,29,271,29,1236,694,224,1136,846,4471,9994,0.447368421052632,0.000600360216129678
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,4,12,1557,0.00770712909441233,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,34,3,38,5,10,95,1605,0.059190031152648,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,3,0,16,44,1636,0.0268948655256724,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,1,1,4,0,4,8,0,2,13,4,138,206,115,122,93,711,3233,0.219919579338076,0.0055675842870399
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,51,42,14,33,29,174,989,0.175935288169869,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,66,43,19,43,24,198,988,0.200404858299595,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,61,55,26,36,35,222,1155,0.192207792207792,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2,3,14,2670,0.0052434456928839,0
"DF1",0.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,41,48,52,39,38,225,1758,0.127986348122867,0.00113765642775882
