"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","mVarPB2","mVarPB1","mVarPA","mVarHA","mVarNP","mVarNA","mVarM","mVarNS","mHelperPB2","mHelperPB1","mHelperPA","mHelperHA","mHelperNP","mHelperNA","mHelperM","mHelperNS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","VAR","HELPER","HELPER_Segments","WT_Test_Prop","VAR_Test_Prop","WT_Prop","VAR_Prop","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","HELPER_Prop","Purity","Test_Log","Minor_Frac","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"DF1",0.02,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,23,82,221,718,1587,601,1428,4226,8891,19124,0.464913198075716,0.000261451579167538,5,0,8886,8,1,0,0.000562366437970982,0,0.000562366437970982,0.000261451579167538,5,0.999437633562029,1,0.698970004336019,0,0,0,0,2,4,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,4,2,307,160,34,191,298,1008,2812,0.35846372688478,0.000355618776671408,1,0,1007,8,1,0,0.000992063492063492,0,0.000992063492063492,0.000355618776671408,1,0.999007936507937,1,0,0,0,0,0,6,0,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,18,7,189,162,79,185,191,837,4517,0.185299977861412,0.000221385875581138,1,0,836,8,1,0,0.001194743130227,0,0.001194743130227,0.000221385875581138,1,0.998805256869773,1,0,0,0,0,0,7,0,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,8,9,282,104,31,120,251,814,3424,0.237733644859813,0.000292056074766355,1,0,813,8,1,0,0.00122850122850123,0,0.00122850122850123,0.000292056074766355,1,0.998771498771499,1,0,0,0,0,0,8,0,0.000168154525238337
"DF1",0.02,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,85,53,59,433,655,86,472,400,2246,6149,0.365262644332412,0.000487884208814441,2,1,2243,8,0.666666666666667,0.333333333333333,0.000890471950133571,0.000445235975066785,0.00133570792520036,0.000487884208814441,3,0.9986642920748,0.666666666666667,0.477121254719662,0.159040418239887,0,0,0,9,2,0.000168154525238337
"DF1",0.02,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,29,271,29,1236,694,224,1136,846,4471,9994,0.447368421052632,0.000600360216129678,5,1,4465,8,0.833333333333333,0.166666666666667,0.00111831804965332,0.000223663609930664,0.00134198165958399,0.000600360216129678,6,0.998658018340416,0.833333333333333,0.778151250383644,0.129691875063941,0,0,0,10,1,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,19,4,362,215,169,205,265,1242,5041,0.246379686570125,0.000396746677246578,1,1,1240,8,0.5,0.5,0.000805152979066023,0.000805152979066023,0.00161030595813205,0.000396746677246578,2,0.998389694041868,0.5,0.301029995663981,0.150514997831991,0,0,0,12,0,0.000168154525238337
"DF1",0.02,0,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,28,44,12,463,536,231,1113,1043,3477,10676,0.325683776695392,0.000655676283252154,7,0,3470,8,1,0,0.00201322979580098,0,0.00201322979580098,0.000655676283252154,7,0.997986770204199,1,0.845098040014257,0,0,0,0,14,1.33333333333333,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,21,7,304,199,43,199,629,1411,8838,0.159651504865354,0.000339443312966735,3,0,1408,8,1,0,0.00212615166548547,0,0.00212615166548547,0.000339443312966735,3,0.997873848334515,1,0.477121254719662,0,0,0,0,15,-0.571428571428571,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,81,164,51,43,53,402,1644,0.244525547445255,0.000608272506082725,0,1,401,8,0,1,0,0.00248756218905473,0.00248756218905473,0.000608272506082725,1,0.997512437810945,1,0,0,0,0,0,16,-0.666666666666667,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,15,8,249,211,114,164,432,1201,9632,0.12468853820598,0.000311461794019934,2,1,1198,8,0.666666666666667,0.333333333333333,0.00166527893422148,0.000832639467110741,0.00249791840133222,0.000311461794019934,3,0.997502081598668,0.666666666666667,0.477121254719662,0.159040418239887,0,0,0,17,2,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,7,3,183,74,74,213,230,788,6643,0.118621104922475,0.000301068794219479,1,1,786,8,0.5,0.5,0.00126903553299492,0.00126903553299492,0.00253807106598985,0.000301068794219479,2,0.99746192893401,0.5,0.301029995663981,0.150514997831991,0,0,0,18,-0.333333333333333,0.000168154525238337
