Strain,Cell,Rep,MOI,HA
MN99,MDCK,4,0.01,4.67
MN99,MDCK,4,0.05,52.2
MN99,MDCK,4,0.1,
MN99,MDCK,4,1,70.76
MN99,MDCK,5,0.01,4.73
MN99,MDCK,5,0.05,44.4
MN99,MDCK,5,0.1,51.2
MN99,MDCK,5,1,85.87
MN99,MDCK,6,0.01,4.49
MN99,MDCK,6,0.05,40.42
MN99,MDCK,6,0.1,54.3
MN99,MDCK,6,1,80.36
WF10,MDCK,4,0.01,4.08
WF10,MDCK,4,0.05,24.9
WF10,MDCK,4,0.1,55.3
WF10,MDCK,4,1,82.42
WF10,MDCK,5,0.01,1.786
WF10,MDCK,5,0.05,24.03
WF10,MDCK,5,0.1,54.2
WF10,MDCK,5,1,78.74
WF10,MDCK,6,0.01,5.27
WF10,MDCK,6,0.05,33.38
WF10,MDCK,6,0.1,54.6
WF10,MDCK,6,1,84.25
WF10,DF1,4,0.01,2.52
WF10,DF1,4,0.05,12.62
WF10,DF1,4,0.1,21.09
WF10,DF1,4,1,76.85
WF10,DF1,5,0.01,3.37
WF10,DF1,5,0.05,14
WF10,DF1,5,0.1,23.52
WF10,DF1,5,1,79.78
WF10,DF1,6,0.01,3.84
WF10,DF1,6,0.05,13.67
WF10,DF1,6,0.1,25.95
WF10,DF1,6,1,77.47
WF10,DF1,1,0.1,34.96
WF10,DF1,2,0.1,35.73
WF10,DF1,1,1,90.64
WF10,DF1,2,1,91.27
WF10,DF1,1,3,93.68
WF10,DF1,2,3,93.36
WF10,DF1,1,5,95.08
WF10,DF1,2,5,95.14
WF10,DF1,1,10,96.01
WF10,DF1,2,10,95.8
WF10,DF1,1,20,96.07
WF10,DF1,2,20,96.36
WF10,MDCK,1,0.1,35.4
WF10,MDCK,2,0.1,31.59
WF10,MDCK,1,1,81.9
WF10,MDCK,2,1,85.06
WF10,MDCK,1,3,80.98
WF10,MDCK,2,3,89.69
WF10,MDCK,1,5,90.83
WF10,MDCK,2,5,95.02
WF10,MDCK,1,10,88.79
WF10,MDCK,2,10,85.73
WF10,MDCK,1,20,88.13
WF10,MDCK,2,20,85.74
