Strain,Cell,Rep,MOI,Time,PFU
WF10,MDCK,1,0.1,0,150
WF10,MDCK,1,0.1,2,49
WF10,MDCK,1,0.1,4,
WF10,MDCK,1,0.1,6,
WF10,MDCK,1,0.1,8,
WF10,MDCK,1,0.1,12,49
WF10,MDCK,1,0.1,16,3200
WF10,MDCK,1,0.1,24,290000
WF10,MDCK,1,0.1,48,790000
WF10,MDCK,2,0.1,0,750
WF10,MDCK,2,0.1,2,49
WF10,MDCK,2,0.1,4,
WF10,MDCK,2,0.1,6,
WF10,MDCK,2,0.1,8,
WF10,MDCK,2,0.1,12,49
WF10,MDCK,2,0.1,16,4400
WF10,MDCK,2,0.1,24,660000
WF10,MDCK,2,0.1,48,2450000
WF10,MDCK,3,0.1,0,750
WF10,MDCK,3,0.1,2,49
WF10,MDCK,3,0.1,4,
WF10,MDCK,3,0.1,6,
WF10,MDCK,3,0.1,8,
WF10,MDCK,3,0.1,12,49
WF10,MDCK,3,0.1,16,2850
WF10,MDCK,3,0.1,24,650000
WF10,MDCK,3,0.1,48,1400000
WF10,MDCK,1,1,0,5000
WF10,MDCK,1,1,2,49
WF10,MDCK,1,1,4,
WF10,MDCK,1,1,6,
WF10,MDCK,1,1,8,
WF10,MDCK,1,1,12,1350
WF10,MDCK,1,1,16,545000
WF10,MDCK,1,1,24,1450000
WF10,MDCK,1,1,48,1135000
WF10,MDCK,2,1,0,15000
WF10,MDCK,2,1,2,49
WF10,MDCK,2,1,4,
WF10,MDCK,2,1,6,
WF10,MDCK,2,1,8,
WF10,MDCK,2,1,12,1150
WF10,MDCK,2,1,16,490000
WF10,MDCK,2,1,24,1550000
WF10,MDCK,2,1,48,3850000
WF10,MDCK,3,1,0,19500
WF10,MDCK,3,1,2,50
WF10,MDCK,3,1,4,
WF10,MDCK,3,1,6,
WF10,MDCK,3,1,8,
WF10,MDCK,3,1,12,5650
WF10,MDCK,3,1,16,445000
WF10,MDCK,3,1,24,615000
WF10,MDCK,3,1,48,3200000
WF10,MDCK,1,3,0,17500
WF10,MDCK,1,3,2,50
WF10,MDCK,1,3,4,
WF10,MDCK,1,3,6,
WF10,MDCK,1,3,8,
WF10,MDCK,1,3,12,2900
WF10,MDCK,1,3,16,305000
WF10,MDCK,1,3,24,445000
WF10,MDCK,1,3,48,660000
WF10,MDCK,2,3,0,50000
WF10,MDCK,2,3,2,200
WF10,MDCK,2,3,4,
WF10,MDCK,2,3,6,
WF10,MDCK,2,3,8,
WF10,MDCK,2,3,12,10000
WF10,MDCK,2,3,16,525000
WF10,MDCK,2,3,24,100000
WF10,MDCK,2,3,48,1850000
WF10,MDCK,1,5,0,36500
WF10,MDCK,1,5,2,49
WF10,MDCK,1,5,4,
WF10,MDCK,1,5,6,
WF10,MDCK,1,5,8,
WF10,MDCK,1,5,12,5750
WF10,MDCK,1,5,16,420000
WF10,MDCK,1,5,24,540000
WF10,MDCK,1,5,48,500000
WF10,MDCK,2,5,0,200000
WF10,MDCK,2,5,2,150
WF10,MDCK,2,5,4,
WF10,MDCK,2,5,6,
WF10,MDCK,2,5,8,
WF10,MDCK,2,5,12,11000
WF10,MDCK,2,5,16,360000
WF10,MDCK,2,5,24,725000
WF10,MDCK,2,5,48,1250000
WF10,MDCK,3,5,0,100000
WF10,MDCK,3,5,2,200
WF10,MDCK,3,5,4,
WF10,MDCK,3,5,6,
WF10,MDCK,3,5,8,
WF10,MDCK,3,5,12,42500
WF10,MDCK,3,5,16,475000
WF10,MDCK,3,5,24,865000
WF10,MDCK,3,5,48,1700000
WF10,MDCK,1,10,0,110000
WF10,MDCK,1,10,2,150
WF10,MDCK,1,10,4,
WF10,MDCK,1,10,6,
WF10,MDCK,1,10,8,
WF10,MDCK,1,10,12,17000
WF10,MDCK,1,10,16,320000
WF10,MDCK,1,10,24,395000
WF10,MDCK,1,10,48,465000
WF10,MDCK,2,10,0,305000
WF10,MDCK,2,10,2,4350
WF10,MDCK,2,10,4,
WF10,MDCK,2,10,6,
WF10,MDCK,2,10,8,
WF10,MDCK,2,10,12,10000
WF10,MDCK,2,10,16,430000
WF10,MDCK,2,10,24,670000
WF10,MDCK,2,10,48,800000
WF10,MDCK,1,20,0,665000
WF10,MDCK,1,20,2,150
WF10,MDCK,1,20,4,
WF10,MDCK,1,20,6,
WF10,MDCK,1,20,8,
WF10,MDCK,1,20,12,35000
WF10,MDCK,1,20,16,415000
WF10,MDCK,1,20,24,245000
WF10,MDCK,1,20,48,320000
WF10,MDCK,2,20,0,1180000
WF10,MDCK,2,20,2,700
WF10,MDCK,2,20,4,
WF10,MDCK,2,20,6,
WF10,MDCK,2,20,8,
WF10,MDCK,2,20,12,42500
WF10,MDCK,2,20,16,215000
WF10,MDCK,2,20,24,435000
WF10,MDCK,2,20,48,1050000
WF10,MDCK,3,20,0,2105000
WF10,MDCK,3,20,2,1450
WF10,MDCK,3,20,4,
WF10,MDCK,3,20,6,
WF10,MDCK,3,20,8,
WF10,MDCK,3,20,12,65500
WF10,MDCK,3,20,16,395000
WF10,MDCK,3,20,24,700000
WF10,MDCK,3,20,48,700000
WF10,MDCK,4,1,1,7400
WF10,MDCK,4,1,2,49
WF10,MDCK,4,1,4,49
WF10,MDCK,4,1,6,
WF10,MDCK,4,1,8,
WF10,MDCK,4,1,12,815000
WF10,MDCK,4,1,16,3200000
WF10,MDCK,4,1,24,4550000
WF10,MDCK,4,1,48,4450000
