Virus,Cell,MOI,Rep,Copy
GFHK99,MDCK,0,1,3.45
GFHK99,MDCK,0.01,1,3.1
GFHK99,MDCK,0.05,1,17.25
GFHK99,MDCK,0.1,1,63.4
GFHK99,MDCK,0.5,1,212.5
GFHK99,MDCK,1,1,167
GFHK99,MDCK,3,1,100
GFHK99,MDCK,5,1,69.55
GFHK99,MDCK,0,2,2.9
GFHK99,MDCK,0.01,2,3.55
GFHK99,MDCK,0.05,2,9.95
GFHK99,MDCK,0.1,2,41.5
GFHK99,MDCK,0.5,2,142.2
GFHK99,MDCK,1,2,159.5
GFHK99,MDCK,3,2,113.5
GFHK99,MDCK,5,2,82.45
GFHK99,MDCK,0,3,3.25
GFHK99,MDCK,0.01,3,3.1
GFHK99,MDCK,0.05,3,19.95
GFHK99,MDCK,0.1,3,35.5
GFHK99,MDCK,0.5,3,139
GFHK99,MDCK,1,3,173
GFHK99,MDCK,3,3,92.45
GFHK99,MDCK,5,3,76.05
GFHK99,DF-1,0,1,11620
GFHK99,DF-1,0.01,1,11620
GFHK99,DF-1,0.05,1,22440
GFHK99,DF-1,0.1,1,25180
GFHK99,DF-1,0.5,1,16500
GFHK99,DF-1,1,1,8500
GFHK99,DF-1,3,1,5552
GFHK99,DF-1,5,1,3034
GFHK99,DF-1,0,2,8420
GFHK99,DF-1,0.01,2,8000
GFHK99,DF-1,0.05,2,20080
GFHK99,DF-1,0.1,2,19020
GFHK99,DF-1,0.5,2,13520
GFHK99,DF-1,1,2,13360
GFHK99,DF-1,3,2,4288
GFHK99,DF-1,5,2,2696
GFHK99,DF-1,0,3,8180
GFHK99,DF-1,0.01,3,10740
GFHK99,DF-1,0.05,3,19960
GFHK99,DF-1,0.1,3,20560
GFHK99,DF-1,0.5,3,12800
GFHK99,DF-1,1,3,11200
GFHK99,DF-1,3,3,3790
GFHK99,DF-1,5,3,2456
GFHK99,HTBE,0,1,347.5
GFHK99,HTBE,0.3,1,3805
GFHK99,HTBE,0.5,1,6415
GFHK99,HTBE,1,1,9190
GFHK99,HTBE,3,1,8785
GFHK99,HTBE,5,1,7740
