Rep,Well,PB2,PB1,PA,HA,NP,NA,M,NS,PB2.Helper,PB1.Helper
1,A01,0,0,0,0,0,0,0,0,1,1
1,A02,0,0,0,0,0,0,0,0,1,1
1,A03,0,0,0,0,0,0,0,0,1,1
1,A04,0,0,0,0,0,0,0,0,1,1
1,A05,0,0,0,0,0,0,0,0,0,0
1,A06,0,0,0,0,0,0,0,0,1,1
1,A07,0,0,0,0,0,0,0,0,0,0
1,A08,0,0,0,0,0,0,0,0,0,0
1,A09,0,0,0,0,0,0,0,0,0,0
1,A10,0,0,0,0,0,0,0,0,0,0
1,A11,0,0,0,0,0,0,0,0,0,0
1,A12,0,0,0,0,0,0,0,0,0,0
1,B01,0,0,0,0,0,0,0,0,1,1
1,B02,0,0,0,0,0,0,0,0,1,1
1,B03,0,0,0,0,0,0,0,0,0,0
1,B04,0,0,0,0,0,0,0,0,1,1
1,B05,1,0,1,1,0,1,1,1,1,1
1,B06,0,0,0,0,0,0,0,0,1,1
1,B07,0,0,0,0,0,0,0,0,1,1
1,B08,1,0,1,1,0,0,1,1,1,1
1,B09,0,0,0,0,0,0,0,0,1,1
1,B10,0,0,0,0,0,0,0,0,1,1
1,B11,0,0,0,0,0,0,0,0,1,1
1,B12,0,1,0,1,1,1,1,1,1,1
1,C01,0,1,1,1,1,1,1,1,1,1
1,C02,0,0,0,0,0,0,0,0,0,0
1,C03,0,0,0,0,0,0,0,0,1,1
1,C04,0,0,0,0,0,0,0,0,1,1
1,C05,0,0,0,0,0,0,0,0,1,1
1,C06,0,0,0,0,0,0,0,0,1,1
1,C07,0,0,0,0,0,0,0,0,1,1
1,C08,0,0,0,0,0,0,0,0,1,1
1,C09,0,1,1,1,0,0,1,1,1,1
1,C10,0,0,0,0,0,0,0,0,1,1
1,C11,1,1,1,1,1,1,0,1,1,1
1,C12,0,0,0,0,0,0,0,0,1,1
1,D01,0,0,0,0,0,0,0,0,1,1
1,D02,0,0,0,0,0,0,0,0,1,1
1,D03,0,0,0,0,0,0,0,0,1,1
1,D04,0,0,1,0,1,1,1,0,1,1
1,D05,0,0,0,0,0,0,0,0,1,1
1,D06,1,0,1,1,1,1,1,1,1,1
1,D07,1,1,1,1,1,1,1,1,1,1
1,D08,0,0,0,0,0,0,0,0,1,1
1,D09,0,1,1,0,1,1,1,1,1,1
1,D10,0,1,1,1,1,1,0,0,1,1
1,D11,0,0,0,0,0,0,0,0,1,1
1,D12,1,0,0,1,1,0,1,1,1,1
1,E01,0,0,0,0,0,0,0,0,1,1
1,E02,1,0,0,1,1,1,1,1,1,1
1,E03,1,0,1,0,1,0,1,1,1,1
1,E04,0,0,0,0,0,0,0,0,1,1
1,E05,0,0,0,0,0,0,0,0,0,0
1,E06,0,0,0,0,0,0,0,0,0,0
1,E07,1,1,1,1,1,1,1,1,1,1
1,E08,1,0,0,0,1,1,1,1,1,1
1,E09,1,1,1,1,1,1,1,1,1,1
1,E10,0,0,0,0,0,0,0,0,1,1
1,E11,1,1,1,1,1,1,1,1,1,1
1,E12,0,0,0,0,0,0,0,0,1,1
1,F01,0,0,0,0,0,0,0,0,1,1
1,F02,0,0,0,0,0,0,0,0,1,1
1,F03,0,0,0,0,0,0,0,0,1,1
1,F04,0,0,1,0,0,0,1,1,1,1
1,F05,0,0,0,0,0,0,0,0,1,1
1,F06,1,1,1,0,0,1,1,1,1,1
1,F07,0,0,0,0,0,0,0,0,1,1
1,F08,1,1,1,1,1,1,1,1,1,1
1,F09,0,0,0,0,0,0,0,0,1,1
1,F10,0,0,0,0,0,0,0,0,1,1
1,F11,0,1,1,1,1,1,1,1,1,1
