"Rep","MOI","Expressing.HA","Reassortant.Percent"
"1",0.001,0.025,0
"2",0.001,0.005,0
"3",0.001,0.013,0
"4",0.001,0.017,0
"1",0.01,0.296,1.41843971631206
"2",0.01,0.126,2.73972602739726
"3",0.01,0.163,2.67857142857143
"4",0.01,0.152,11.4182692307692
"1",0.05,1.535,14.0369666646738
"2",0.05,0.659,17.6824918471931
"3",0.05,0.879,19.9725569141078
"4",0.05,0.808,27.3138071217984
"1",0.1,3.275,25.1461852505062
"2",0.1,1.487,27.0378535702314
"3",0.1,2,29.4048021343267
"4",0.1,1.845,35.6030360268514
"1",0.2,7.436,34.9652647786233
"2",0.2,3.747,38.4595375564301
"3",0.2,4.614,39.0176024187681
"4",0.2,4.596,43.941337635389
"1",0.3,12.026,42.5464062646182
"2",0.3,6.428,48.5389189233743
"3",0.3,7.891,47.6002183003819
"4",0.3,7.77,51.5628738890943
"1",0.4,17.016,48.4286210699039
"2",0.4,9.688,52.9335725700477
"3",0.4,11.443,52.7704926415792
"4",0.4,11.575,57.0974978911292
"1",0.5,22.104,52.7789452278884
"2",0.5,13.244,57.1086168948797
"3",0.5,15.394,57.3648769686777
"4",0.5,15.521,60.2200049586801
"1",0.6,27.18,56.2719975634654
"2",0.6,16.893,60.3346218883613
"3",0.6,19.359,59.885427909412
"4",0.6,19.969,63.5077309240262
"1",0.7,32.531,58.9469059010207
"2",0.7,20.779,62.7146399918827
"3",0.7,23.467,62.97110167087
"4",0.7,24.282,65.3972142625794
"1",0.8,37.421,61.8910918972493
"2",0.8,24.736,65.1818157644231
"3",0.8,27.883,65.8016401656542
"4",0.8,28.662,68.1163723657911
"1",0.9,42.286,64.3080884504949
"2",0.9,28.968,67.6753772708611
"3",0.9,32.122,67.6457000186654
"4",0.9,33.225,70.2614077740162
"1",1,47.008,66.8534104490069
"2",1,32.892,69.6492663322774
"3",1,36.376,69.7845426484424
"4",1,37.456,71.988406919632
"1",1.5,66.952,74.5983490837378
"2",1.5,51.531,76.9644879787405
"3",1.5,55.032,76.9756317844187
"4",1.5,57.391,78.4770748518235
"1",2,80.028,80.2158312931959
"2",2,66.482,81.8894161437202
"3",2,69.704,81.8937147776148
"4",2,72.037,82.8252352149487
"1",5,99.384,94.2268697501514
"2",5,97.475,94.3365035596785
"3",5,98.041,94.322699921011
"4",5,98.727,94.3649903121308
"1",10,100,97.545990537427
"2",10,99.975,97.5463544108248
"3",10,99.986,97.544510378618
"4",10,99.997,97.5461212618789
