"Rep","MOI","Expressing.HA","Reassortant.Percent"
"1",0.001,0.2,0
"1",0.01,1.981,0.450766658253407
"1",0.05,9.523,2.57827793670361
"1",0.1,18.099,5.17549164448942
"1",0.2,32.877,9.7561454663073
"1",0.3,45.01,14.6925294553066
"1",0.4,54.99,19.3709689726553
"1",0.5,63.224,23.9841487667527
"1",0.6,69.809,28.3803389783585
"1",0.7,75.251,32.6338206650152
"1",0.8,79.874,36.7070417583326
"1",0.9,83.456,40.8291342074865
"1",1,86.433,44.7101239317423
"1",1.5,94.984,60.8554968530234
"1",2,98.176,71.9964257742363
"1",5,99.996,94.0809383985596
"1",10,100,97.5454504891547
