"pHA","pDual"
0,0
0.01,2.51257867600906e-05
0.02,0.000101012677666932
0.03,0.000228439640779056
0.04,0.000408205773457522
0.05,0.00064113103820722
0.06,0.000928057033468395
0.07,0.001269847801409
0.08,0.00166739067491218
0.09,0.0021215971661087
0.1,0.0026334038989724
0.11,0.00320377358867924
0.12,0.00383369607062818
0.13,0.00452418938223699
0.14,0.00527630090085925
0.15,0.00609110854142254
0.16,0.006969722017664
0.17,0.00791328417114023
0.18,0.00892297237251667
0.19,0.00999999999999999
0.2,0.0111456180001682
0.21,0.0123611165368822
0.22,0.0136478267344306
0.23,0.0150071225215756
0.24,0.0164404225837306
0.25,0.0179491924311227
0.26,0.0195349465914746
0.27,0.0211992509364938
0.28,0.022943725152286
0.29,0.0247700453647283
0.3,0.0266799469318489
0.31,0.028675227416385
0.32,0.0307577497529358
0.33,0.03292944562551
0.34,0.035192319072808
0.35,0.0375484503402901
0.36,0.04
0.37,0.0425492133612456
0.38,0.0451984251976378
0.39,0.0479500648186691
0.4,0.0508066615170333
0.41,0.0537708504262784
0.42,0.0568453788272183
0.43,0.0600331129458501
0.44,0.0633370452904234
0.45,0.0667603025808674
0.46,0.0703061543300931
0.47,0.0739780221438964
0.48,0.0777794898144043
0.49,0.08171431429143
0.5,0.085786437626905
0.51,0.09
0.52,0.0943593539448982
0.53,0.0988690799197912
0.54,0.103534003374946
0.55,0.108359213500126
0.56,0.11335008385784
0.57,0.1185122951396
0.58,0.123851860318428
0.59,0.12937515251343
0.6,0.135088935932648
0.61,0.14100040032032
0.62,0.147117199406205
0.63,0.153447493940356
0.64,0.16
0.65,0.166784043380077
0.66,0.17380962103094
0.67,0.181087470692394
0.68,0.188629150101524
0.69,0.196447127433996
0.7,0.204554884989668
0.71,0.212967038573099
0.72,0.221699475574164
0.73,0.230769515458674
0.74,0.240196097281443
0.75,0.25
0.76,0.260204102886729
0.77,0.270833695337456
0.78,0.281916848035314
0.79,0.293484861008832
0.8,0.305572809000084
0.81,0.318220211291865
0.82,0.331471862576143
0.83,0.345378874876467
0.84,0.359999999999999
0.85,0.375403330758514
0.86,0.391668522645207
0.87,0.408889744907193
0.88,0.427179676972431
0.89,0.44667504192888
0.9,0.467544467966236
0.91,0.489999999999796
0.92,0.514314575050264
0.93,0.540849737785787
0.94,0.570102051439711
0.95,0.602786404488552
0.96,0.639999999957959
0.97,0.683589838293016
0.98,0.737157286215299
0.99,0.809999979080229
1,1
